molec_id,nu,sw,a,gamma_air,n_air,gamma_self,nu-err,sw-err,gamma_air-err,n_air-err,gamma_self-err,nu-ref,sw-ref,gamma_air-ref,n_air-ref,gamma_self-ref
1,1434.678385,2.377e-29,4.96e-07,0.077,0.72,0.298,5,3,2,3,2,1387,1380,1419,1413,817
1,1434.682153,2.442e-25,0.001565,0.0691,0.64,0.333,5,7,4,2,4,15,1380,1419,1413,817
1,1434.690361,7.14e-26,19.41,0.0458,0.42,0.281,4,6,4,2,4,1387,1380,1232,1411,817
1,1434.694893,1.36e-24,0.0003604,0.0907,0.72,0.412,5,7,4,2,4,15,1380,1419,1413,817
1,1434.730103,9.499e-28,5.733,0.0842,0.69,0.371,4,3,4,2,2,1387,1380,1232,1411,817
1,1434.766943,3.649e-29,1.182e-08,0.0887,0.71,0.412,5,4,2,3,2,1387,1385,773,819,817
1,1434.771536,4.019e-30,0.0006131,0.0727,0.67,0.333,5,3,2,3,2,1387,1380,1232,1411,817
1,1434.98248,1.68e-26,20.06,0.0914,0.73,0.412,4,6,4,2,4,1387,1380,1232,1411,817
1,1435.260237,1.521e-29,8.521,0.0884,0.7,0.391,4,3,4,6,2,1387,1380,1232,1411,817
1,1435.330419,1.4e-24,0.00129,0.0725,0.65,0.352,5,7,4,2,4,15,1380,1419,1413,817
1,1435.352291,1.503e-28,4.368,0.0842,0.69,0.371,4,3,4,3,2,1387,1380,1232,1411,817
1,1435.532116,3.39e-28,0.01456,0.0523,0.48,0.281,5,3,4,2,2,1387,1380,1232,1411,817
1,1435.571339,3.878e-30,0.2273,0.0634,0.58,0.333,4,3,2,3,2,1387,1380,1232,1411,817
1,1435.649611,4.287e-21,5.683,0.059,0.49,0.333,5,7,8,2,6,15,1380,1415,1415,52
1,1435.855528,1.59e-26,0.004106,0.0882,0.72,0.412,5,6,4,2,4,15,1380,1232,1411,817
1,1436.10316,4.301e-29,4.014,0.0591,0.51,0.333,4,3,4,3,2,1387,1380,1232,1411,817
1,1436.233227,9.559e-23,16.19,0.0772,0.62,0.438,5,6,4,2,6,15,1380,1232,1411,69
1,1436.328057,4.713e-30,0.05908,0.0969,0.74,0.434,5,3,4,5,2,1387,1380,1232,1411,817
1,1436.480276,3.446e-20,7.767,0.0475,0.24,0.336,5,7,8,2,3,15,1380,1415,1415,52
1,1436.655534,8.811e-21,5.813,0.0787,0.58,0.414,5,7,8,2,4,15,1380,1415,1415,52
1,1436.764752,9.689e-29,5.008,0.0728,0.61,0.352,4,3,4,2,2,1387,1380,1232,1411,817
1,1436.818254,1.087e-19,9.056,0.088,0.77,0.444,5,7,8,2,5,15,1380,1415,1415,52
1,1436.991815,2.347e-30,5.404e-06,0.0637,0.64,0.281,5,7,2,3,2,1387,1380,1419,1413,817
1,1437.02624,1.147e-20,7.758,0.0464,0.27,0.313,5,7,8,2,4,15,1380,1415,1415,52
1,1437.090725,2.428e-28,0.09585,0.0585,0.57,0.298,5,3,4,3,2,1387,1380,1232,1411,817
1,1437.211436,5.367e-26,27.09,0.0995,0.75,0.434,4,6,4,2,4,15,1380,1232,1411,817
1,1437.217717,2.376e-30,0.0002608,0.0491,0.51,0.25,4,7,2,3,2,1387,1380,1419,1413,817
1,1437.397372,1.065e-30,25.04,0.0266,0.22,0.195,3,3,2,3,2,1387,1380,1232,1411,817
1,1437.555052,2.224e-28,4.265,0.0591,0.51,0.333,4,3,4,3,2,1387,1380,1232,1411,817
1,1437.616354,1.308e-28,4.046,0.0603,0.51,0.333,4,3,4,5,2,1387,1380,1232,1411,817
1,1437.724564,1.042e-30,18.85,0.038,0.41,0.281,4,3,2,3,2,1387,1380,1232,1411,817
1,1437.732462,1.302e-29,5.804e-08,0.0686,0.62,0.333,5,4,2,3,2,1387,1385,773,819,817
1,1437.80161,8.142e-25,4.472,0.0785,0.68,0.333,5,6,4,2,4,15,1380,1232,1411,817
1,1437.891174,9.988e-31,16.28,0.0878,0.69,0.391,4,3,2,3,2,1387,1380,1232,1411,817
1,1438.161761,7.72e-28,7.581,0.0665,0.54,0.352,4,3,4,2,2,1387,1380,1232,1411,817
1,1438.238486,3.894e-26,2.652,0.0726,0.65,0.298,4,6,4,2,4,1387,1380,1232,1411,817
1,1438.354856,1.788e-30,15.57,0.0878,0.69,0.391,4,3,2,3,2,1387,1380,1232,1411,817
1,1438.37207,1.049e-30,21.74,0.1003,0.75,0.456,4,3,2,3,2,1387,1380,1232,1411,817
1,1438.387579,6.977e-29,0.02088,0.0546,0.51,0.281,5,3,4,3,2,1387,1380,1232,1411,817
1,1438.51116,2.889e-26,0.0494,0.0673,0.6,0.333,5,6,4,2,4,15,1380,1232,1411,817
1,1438.522763,2.056e-27,0.0003574,0.0509,0.57,0.25,4,3,4,2,4,1387,1380,1419,1413,817
1,1438.718592,8.184e-30,0.1747,0.0419,0.49,0.161,4,4,4,3,2,1387,26,1419,1413,817
1,1438.807725,4.787e-24,9.421,0.0255,0.23,0.199,5,7,6,2,6,15,1380,56,1413,69
1,1438.880392,2.932e-30,15.77,0.0375,0.41,0.298,4,3,2,3,2,1387,1380,1232,1411,817
1,1438.942457,2.567e-28,7.565,0.0655,0.54,0.352,4,3,4,3,2,1387,1380,1232,1411,817
1,1438.957279,1.283e-27,33.47,0.0833,0.71,0.315,4,3,4,2,4,1387,1380,1232,1411,817
1,1439.007059,4.383e-29,1.726e-08,0.0781,0.67,0.371,5,4,2,3,2,1387,1385,773,819,817
1,1439.079942,2.592e-28,1.685e-08,0.0887,0.71,0.412,5,4,2,3,2,1387,1385,773,819,817
1,1439.225873,7.684e-30,41.67,0.0619,0.56,0.25,4,3,4,3,2,1387,1380,1232,1411,817
1,1439.37398,2.756e-28,38.74,0.0701,0.61,0.298,4,3,4,2,2,1387,1380,1232,1411,817
1,1439.668653,7.518e-29,4.288,0.0603,0.51,0.333,4,3,4,5,2,1387,1380,1232,1411,817
1,1440.011915,1.89e-30,20.64,0.1003,0.75,0.456,4,3,2,3,2,1387,1380,1232,1411,817
1,1440.021753,2.194e-30,11.89,0.0361,0.41,0.315,4,3,2,3,2,1387,1380,1232,1411,817
1,1440.02219,6.583e-30,11.9,0.0362,0.41,0.315,4,3,4,3,2,1387,1380,1232,1411,817
1,1440.114399,2.595e-30,0.005213,0.0508,0.48,0.265,5,3,2,3,2,1387,1380,1232,1411,817
1,1440.196475,1.139e-29,3.023e-08,0.0686,0.62,0.333,5,4,2,3,2,1387,1385,773,819,817
1,1440.463499,3.738e-30,39.54,0.0775,0.69,0.25,4,3,2,3,2,1387,1380,1232,1411,817
1,1440.477694,2.666e-29,2.796,0.0785,0.68,0.333,4,3,4,2,2,1387,1380,1232,1411,817
1,1440.572805,3.96e-23,10.16,0.071,0.54,0.365,5,6,8,2,6,15,1380,1415,1415,52
1,1440.581096,1.029e-30,0.01164,0.1025,0.75,0.456,4,3,2,3,2,1387,1380,1232,1411,817
1,1440.699613,3.145e-23,16.0,0.0681,0.5,0.367,5,6,8,2,6,15,1380,1415,1415,52
1,1440.976557,4.134e-30,0.04202,0.0821,0.7,0.352,4,3,4,3,2,1387,1380,1232,1411,817
1,1441.074071,4.424e-28,8.027,0.0665,0.54,0.352,4,3,4,2,2,1387,1380,1232,1411,817
1,1441.11099,9.972e-30,6.86,0.0356,0.45,0.333,4,3,4,3,2,1387,1380,1232,1411,817
1,1441.111128,3.324e-30,6.86,0.0356,0.45,0.333,3,3,2,3,2,1387,1380,1232,1411,817
1,1441.263352,2.959e-30,2.069,0.0988,0.74,0.456,4,3,2,3,2,1387,1380,1232,1411,817
1,1441.300182,4.219e-26,25.33,0.0914,0.74,0.391,4,6,4,2,4,1387,1380,1232,1411,817
1,1441.343406,7.92e-26,0.0009582,0.0603,0.59,0.315,5,7,4,2,4,15,1380,1419,1413,817
1,1441.343875,1.595e-22,7.203,0.0361,0.11,0.308,5,7,8,2,3,15,1380,1415,1229,52
1,1441.540793,8.196e-24,15.73,0.0591,0.55,0.314,5,6,7,2,6,15,1380,56,1411,69
1,1441.558432,4.486e-23,16.6,0.0935,0.74,0.454,5,6,7,2,6,15,1380,1415,1411,52
1,1441.678092,4.539e-27,11.31,0.0214,0.14,0.195,4,7,4,2,4,1387,1380,1419,1413,817
1,1441.943393,7.881e-28,6.21e-08,0.0887,0.71,0.412,5,4,2,3,2,1387,1385,773,819,817
1,1441.971504,6.084e-30,6.716,0.0457,0.41,0.298,4,3,4,3,2,1387,1380,1232,1411,817
1,1442.044806,7.007e-28,12.39,0.0868,0.7,0.434,5,3,4,2,2,1387,1380,1232,1411,817
1,1442.068789,1.275e-26,0.04949,0.0674,0.61,0.315,5,6,4,2,4,15,1380,1232,1411,817
1,1442.095989,4.995e-28,5.318,0.0728,0.61,0.352,4,3,4,2,2,1387,1380,1232,1411,817
1,1442.124877,1.324e-27,8.011,0.0655,0.54,0.352,4,3,4,2,2,1387,1380,1232,1411,817
1,1442.209409,2.265e-26,32.81,0.0822,0.68,0.352,4,6,4,2,4,1387,1380,1232,1411,817
1,1442.218924,3.721e-28,0.0005292,0.055,0.57,0.265,5,7,4,2,2,1387,1380,1419,1413,817
1,1442.241578,1.99e-29,3.104,0.0726,0.65,0.298,4,3,4,3,2,1387,1380,1232,1411,817
1,1442.305572,9.759e-30,0.04122,0.0941,0.73,0.412,5,3,4,3,2,1387,1380,1232,1411,817
1,1442.335638,1.107e-29,7.833e-08,0.0646,0.6,0.315,5,4,2,3,2,1387,1385,773,819,817
1,1442.811671,7.938e-28,5.021,0.0901,0.72,0.391,5,3,4,2,2,1387,1380,1232,1411,817
1,1442.878282,7.683e-26,14.09,0.0981,0.74,0.456,4,6,4,2,4,15,1380,1232,1411,817
1,1442.911825,9.323e-28,1.508e-07,0.0887,0.71,0.412,5,4,2,3,2,1387,1385,773,819,817
1,1442.981239,4.997e-28,0.00415,0.0804,0.7,0.352,5,3,4,2,2,1387,1380,1232,1411,817
1,1443.154632,2.807e-27,0.000244,0.0748,0.71,0.315,5,7,4,2,4,1387,1380,1419,1413,817
1,1443.228775,9.634e-30,0.02223,0.0444,0.52,0.208,4,3,4,3,2,1387,1380,1232,1411,817
1,1443.361898,3.327e-29,0.000747,0.0787,0.71,0.352,5,3,4,3,2,1387,1380,1232,1411,817
1,1443.399831,3.48e-27,12.96,0.0868,0.7,0.434,4,3,4,2,2,1387,1380,1232,1411,817
1,1443.434378,2.274e-27,21.97,0.039,0.36,0.25,4,3,4,2,4,1387,1380,1232,1411,817
1,1443.544565,2.44e-30,3.378e-07,0.094,0.73,0.434,5,4,2,3,2,1387,1385,773,819,817
1,1443.551628,1.808e-26,15.52,0.0513,0.48,0.265,4,6,4,2,4,1387,1380,1232,1411,817
1,1443.586307,2.125e-27,12.54,0.0877,0.71,0.434,5,3,4,2,2,1387,1380,1232,1411,817
1,1443.627542,1.309e-28,2.12e-08,0.0833,0.69,0.391,5,4,2,3,2,1387,1385,773,819,817
1,1443.748709,3.184e-29,7.234,0.0457,0.41,0.298,4,3,4,3,2,1387,1380,1232,1411,817
1,1443.960423,1.648e-24,9.491,0.0358,0.29,0.202,4,6,6,2,8,15,1381,56,1413,69
1,1444.070298,3.509e-29,0.02911,0.0334,0.39,0.195,4,3,4,3,4,1387,1380,1419,1413,817
1,1444.479021,2.799e-30,8.196e-07,0.058,0.7,0.281,3,3,2,3,2,1387,1380,1419,1413,817
1,1444.635747,2.032e-28,0.08206,0.0632,0.61,0.315,5,3,4,3,2,1387,1380,1232,1411,817
1,1444.70652,2.258e-30,0.03587,0.036,0.38,0.235,4,3,2,3,2,1387,1380,1232,1411,817
1,1444.727723,1.175e-27,13.14,0.0877,0.71,0.434,4,3,4,2,2,1387,1380,1232,1411,817
1,1444.752283,3.929e-24,16.92,0.0589,0.56,0.322,5,6,5,2,8,15,1380,56,1411,69
1,1444.856263,1.979e-24,1.074,0.065,0.58,0.376,5,7,4,2,7,15,1380,1419,1413,69
1,1444.958242,1.537e-28,37.46,0.0843,0.73,0.298,4,3,4,4,2,1387,1380,1232,1411,817
1,1445.052591,1.84e-29,0.1617,0.0552,0.52,0.25,4,3,4,3,2,1387,1380,1232,1411,817
1,1445.090084,2.046e-30,2.169,0.0941,0.73,0.412,4,3,2,3,2,1387,1380,1232,1411,817
1,1445.100465,4.925e-22,7.295,0.041,0.38,0.251,5,7,8,2,5,15,1380,1415,1415,52
1,1445.103842,2.037e-29,24.54,0.03,0.26,0.208,4,3,4,3,2,1387,1380,1232,1411,817
1,1445.151314,3.922e-30,8.265e-08,0.0646,0.6,0.315,5,4,2,3,2,1387,1385,773,819,817
1,1445.17365,6.511e-23,1.669,0.0726,0.64,0.399,5,7,7,2,6,15,1380,56,1413,69
1,1445.189218,6.849e-25,19.22,0.0525,0.48,0.298,4,6,4,2,4,15,1380,1232,1411,817
1,1445.265773,3.593e-30,3.454e-05,0.0852,0.72,0.352,5,3,2,3,2,1387,1380,1232,1411,817
1,1445.372933,3.64e-30,25.24,0.0988,0.75,0.456,4,3,2,3,2,1387,1380,1232,1411,817
1,1445.464766,4.098e-26,21.55,0.0924,0.72,0.412,4,6,4,2,4,1387,1380,1232,1411,817
1,1445.579893,2.031e-30,0.8768,0.0559,0.51,0.298,4,3,2,3,2,1387,1380,1232,1411,817
1,1445.617036,2.9e-30,15.78,0.0845,0.67,0.391,4,3,2,3,2,1387,1380,1232,1411,817
1,1445.787838,5.041e-28,5.898,0.0901,0.72,0.391,4,3,4,2,2,1387,1380,1232,1411,817
1,1445.804719,7.746e-28,0.01136,0.039,0.49,0.195,4,3,4,2,4,1387,1380,1419,1413,817
1,1446.040289,2.066e-30,9.086e-08,0.06,0.57,0.298,5,4,2,3,2,1387,1385,773,819,817
1,1446.124057,1.504e-30,0.2854,0.082,0.71,0.333,4,3,2,3,2,1387,1380,1232,1411,817
1,1446.148351,1.901e-29,6.87,0.051,0.46,0.298,4,3,4,4,2,1387,1380,1232,1411,817
1,1446.212398,1.201e-29,42.63,0.072,0.64,0.265,4,3,4,3,2,1387,1380,1232,1411,817
