molec_id,nu,sw,a,gamma_air,n_air,gamma_self,nu-err,sw-err,gamma_air-err,n_air-err,gamma_self-err,nu-ref,sw-ref,gamma_air-ref,n_air-ref,gamma_self-ref
7,25.5319096,2.066e-28,4.373e-08,0.0548,0.72,0.051,6,4,6,2,6,1179,855,874,876,874
7,25.8125075,3.961e-25,4.399e-08,0.0548,0.72,0.051,7,4,6,2,6,1179,855,874,876,874
7,27.5463331,7.134e-29,1.339e-08,0.0496,0.72,0.05,6,4,6,2,6,1179,855,874,876,874
7,27.8241013,1.365e-25,1.343e-08,0.0496,0.72,0.05,7,4,6,2,6,1179,855,874,876,874
7,34.9808373,4.745e-29,1.114e-08,0.0499,0.72,0.05,6,4,6,2,6,1179,855,857,876,874
7,35.3952818,9.096e-26,1.123e-08,0.0499,0.72,0.05,7,4,6,2,6,1179,855,857,876,874
7,36.9748492,2.565e-28,6.332e-08,0.05,0.72,0.05,6,4,6,2,6,1179,855,874,876,874
7,37.3830233,4.91e-25,6.371e-08,0.05,0.72,0.05,7,4,6,2,6,1179,855,874,876,874
7,38.9517348,8.071e-29,1.828e-08,0.0497,0.72,0.049,6,4,6,2,2,1179,855,857,876,866
7,39.3565288,1.543e-25,1.835e-08,0.0497,0.72,0.049,7,4,6,2,2,1179,855,857,876,866
7,46.370325,5.444e-29,1.592e-08,0.0475,0.72,0.047,6,4,6,2,2,1179,855,857,876,866
7,46.9115258,1.041e-25,1.605e-08,0.0475,0.72,0.047,7,4,6,2,2,1179,855,857,876,866
7,48.392218,2.729e-28,8.288e-08,0.0475,0.72,0.047,6,4,6,2,2,1179,855,857,876,866
7,48.9274133,5.212e-25,8.339e-08,0.0475,0.72,0.047,7,4,6,2,2,1179,855,857,876,866
7,50.3413469,8.152e-29,2.315e-08,0.0475,0.72,0.047,6,4,6,2,2,1179,855,857,876,866
7,50.8728885,1.555e-25,2.325e-08,0.0475,0.72,0.047,7,4,6,2,2,1179,855,857,876,866
7,57.7477281,5.414e-29,2.073e-08,0.0459,0.72,0.045,6,4,6,2,2,1179,855,857,876,866
7,58.4155693,1.032e-25,2.089e-08,0.0459,0.72,0.045,7,4,6,2,2,1179,855,857,876,866
7,59.793352,2.596e-28,1.024e-07,0.0459,0.72,0.045,6,4,6,2,2,1179,855,857,876,866
7,60.4553327,4.944e-25,1.03e-07,0.0459,0.72,0.045,7,4,6,2,2,1179,855,857,876,866
7,61.7189077,7.502e-29,2.801e-08,0.0459,0.72,0.045,6,4,6,2,2,1179,855,857,876,866
7,62.3770784,1.427e-25,2.814e-08,0.0459,0.72,0.045,7,4,6,2,2,1179,855,857,876,866
7,69.113193,4.839e-29,2.556e-08,0.0419,0.72,0.044,5,4,2,2,2,1179,855,857,876,865
7,69.9076155,9.189e-26,2.574e-08,0.0419,0.72,0.044,7,4,2,2,2,1179,855,857,876,865
7,71.1804024,2.253e-28,1.219e-07,0.0419,0.72,0.044,5,4,2,2,2,1179,855,857,876,865
7,71.969047,4.276e-25,1.227e-07,0.0419,0.72,0.044,7,4,2,2,2,1179,855,857,876,865
7,73.0845635,6.363e-29,3.288e-08,0.0419,0.72,0.044,5,4,2,2,2,1179,855,857,876,865
7,73.869302,1.206e-25,3.303e-08,0.0419,0.72,0.044,7,4,2,2,2,1179,855,857,876,865
7,80.4657578,3.955e-29,3.039e-08,0.0405,0.72,0.043,5,4,2,2,2,1179,855,857,876,865
7,81.3867283,7.478e-26,3.06e-08,0.0405,0.72,0.043,7,4,2,2,2,1179,855,857,876,865
7,82.5533044,1.804e-28,1.414e-07,0.0405,0.72,0.043,5,4,2,2,2,1179,855,857,876,865
7,83.4685426,3.409e-25,1.423e-07,0.0405,0.72,0.043,7,4,2,2,2,1179,855,857,876,865
7,84.4373525,5.008e-29,3.773e-08,0.0405,0.72,0.043,5,4,2,2,2,1179,855,857,876,865
7,85.3486231,9.458e-26,3.793e-08,0.0405,0.72,0.043,7,4,2,2,2,1179,855,857,876,865
7,91.8040255,2.986e-29,3.522e-08,0.0391,0.72,0.042,5,4,2,2,2,1179,855,857,876,865
7,92.8515236,5.619e-26,3.546e-08,0.0391,0.72,0.042,6,4,2,2,2,1179,855,857,876,865
7,93.9111229,1.341e-28,1.609e-07,0.0391,0.72,0.042,5,4,2,2,2,1179,855,857,876,865
7,94.9529102,2.522e-25,1.619e-07,0.0391,0.72,0.042,6,4,2,2,2,1179,855,857,876,865
7,95.7758778,3.675e-29,4.258e-08,0.0391,0.72,0.042,5,4,2,2,2,1179,855,857,876,865
7,96.8136579,6.909e-26,4.281e-08,0.0391,0.72,0.042,6,4,2,2,2,1179,855,857,876,865
7,103.1264,2.096e-29,4.004e-08,0.0372,0.72,0.041,5,4,2,2,2,1179,855,857,876,865
7,104.300412,3.922e-26,4.031e-08,0.0372,0.72,0.041,6,4,2,2,2,1179,855,857,876,865
